name	Virulence	Acid	Biocide	Metal	Heat
FH15	espX1,etpD,fdeC,iss,lpfA	ymgB	emrE		
FH213	astA,cvaC,espX1,fdeC,focG,iha,iroB,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchB,mchF,tsh	ymgB	emrE		
FH27	fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox	ymgB	emrE		
FH91	cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC113	astA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA	ymgB	emrE,qacEdelta1		
FH214	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1		
AVC224	air,cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH1	espX1,etpD,fdeC,iss,lpfA	ymgB	emrE		
AVC156	air,astA,eilA,espX1,fdeC,iha,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,tsh	ymgB	emrE,qacEdelta1		
FH182	astA,cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox	ymgB	emrE		
FH162	fdeC,hlyE,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,tsh,vactox	ymgB	emrE		
AVC91	cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE	ymgB	emrE,qacEdelta1	arsA,arsD,arsR	
AVC195	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
AVC252	cvaC,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,tsh,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
AVC176	astA,cvaC,espX1,fdeC,iha,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,ybtP,ybtQ	ymgB	qacEdelta1	arsD,merC,merP,merR,merT	
FH14	espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,mchF	ymgB			
FH163	fdeC,hlyE,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,sslE,tsh,vactox	ymgB	emrE		
AVC154	fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papA,papC,papE,papF,papG-II,pic,sslE,tsh,ybtP,ybtQ	ymgB	emrE,qacEdelta1	terD,terW,terZ	
FH44	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
AVC251	cvaC,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchB,mchF,sfaF,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
FH80	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH181	astA,cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox	ymgB	emrE		
FH18	capU,cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,mchF	ymgB			
FH47	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
AVC12	cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH35	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,tsh	ymgB	emrE	merC,merP,merR,merT	
AVC186	air,cvaC,eilA,espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,tsh	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH10	fdeC	ymgB	emrE	arsA,arsD,arsR	
AVC30	cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papA,papC,papE,papF,papG-II,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE	merC,merP,merR,merT	
AVC19	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH211	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1		
FH114	fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,pic,sslE,vactox	ymgB	emrE		
AVC209	espX1,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH124	capU,cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,tsh,ybtP,ybtQ		emrE		
AVC233	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
AVC171	astA,cvaC,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH141	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH178	fdeC,ireA,iss,iucA,iucB,iucC,iucD,iutA,lpfA,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
AVC246	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
AVC161	espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,tsh	ymgB	emrE,qacEdelta1	terD,terW,terZ	
FH48	capU,cvaC,espX1,ireA,iroB,iroC,iroD,iroE,iss,mchF	ymgB	emrE		
AVC25	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH126	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
AVC26	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH39	astA,cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,ybtP,ybtQ	ymgB	emrE		
FH159	fdeC,ireA,iss,iucA,iucB,iucC,iucD,iutA,lpfA,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
AVC207	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
AVC79	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,papA,papC,papE,papF,papG-II,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	merC,merP,merR,merT	
FH201	cvaC,eilA,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF	ymgB		merC,merP,merR,merT	
FH175	espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss	ymgB	emrE		
FH193	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH5	fdeC,hlyE,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchB,mchF,papC,papE,papF,papG-II,tsh,vactox,ybtP,ybtQ	ymgB	emrE,qacEdelta1	terD,terW,terZ	
FH187	cvaC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC249	cvaC,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox				
FH134	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC183	cvaC,fdeC,ibeA,iroB,iroC,iroD,iroE,iroN,iss,mchF,sslE,ybtP,ybtQ	ymgB	emrE		
FH50	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA1,mchF,sfaF	ymgB	emrE	merC,merP,merR,merT	
AVC153	cvaC,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,mchF	ymgB	emrE		
FH196	cvaC,fdeC,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,mchF,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH63	air,cvaC,eilA,espX1,fdeC,iroB,iroC,iroD,iroE,iroN,iss,lpfA,mchF,ybtP,ybtQ	ymgB		arsD	
FH157	fdeC,ireA,iss,iucA,iucB,iucC,iucD,iutA,lpfA,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH190	fdeC,ireA,iss,iucA,iucB,iucC,iucD,iutA,lpfA,pic,sslE,vactox,ybtP,ybtQ	ymgB	emrE		
FH137	cvaC,fdeC,ibeA,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,mchF,papA,papC,papE,papF,papG-II,sslE,tsh,vactox,ybtP,ybtQ	ymgB	emrE		
AVC213	espX1,fdeC,iha,ireA,iroB,iroC,iroD,iroE,iroN,iss,iucA,iucB,iucC,iucD,iutA,lpfA,papA,papC,papE,papF,papG-II,tsh	ymgB	emrE		
